fd_normal,fd_normal2,fd_normal3,fr_normal,fr_normal2,fr_normal3,preprocess_normal,preprocess_normal2,preprocess_normal3,preprocess_normal4
0.832,0.849,0.669,0.197,0.244,0.086,0.898,0.88,0.899,0.899
0.757,0.75,0.759,0.001,0.056,0.0,0.899,0.892,0.899,0.899
0.649,0.727,0.729,0.118,0.083,0.22,0.89,0.867,0.898,0.891
0.625,0.66,0.397,0.0,0.117,0.151,0.899,0.862,0.89,0.898
0.84,0.759,0.725,0.148,0.0,0.02,0.874,0.883,0.9,0.862
0.748,0.659,0.669,0.0,0.11,0.008,0.9,0.871,0.899,0.899
0.393,0.722,0.866,0.226,0.0,0.0,0.892,0.883,0.892,0.895
0.849,0.403,0.758,0.14,0.247,0.349,0.892,0.898,0.898,0.898
0.75,0.868,0.651,0.0,0.158,0.061,0.899,0.893,0.899,0.899
0.767,0.721,0.867,0.1,0.0,0.0,0.899,0.881,0.895,0.897
0.649,0.84,0.649,0.187,0.135,0.123,0.859,0.886,0.898,0.9
0.756,0.676,0.9,0.0,0.172,0.0,0.873,0.888,0.899,0.888
0.608,0.9,0.756,0.118,0.213,0.253,0.896,0.898,0.89,0.897
0.772,0.645,0.776,0.001,0.258,0.106,0.87,0.886,0.8,0.898
0.39,0.859,0.559,0.14,0.103,0.0,0.9,0.861,0.898,0.893
0.857,0.458,0.75,0.001,0.229,0.099,0.9,0.883,0.9,0.901
0.76,0.789,0.65,0.216,0.0,0.001,0.898,0.9,0.899,0.898
0.808,0.784,0.87,0.144,0.107,0.225,0.876,0.898,0.892,0.898
0.668,0.849,0.653,0.0,0.001,0.147,0.884,0.9,0.9,0.899
0.747,0.649,0.902,0.14,0.117,0.0,0.865,0.887,0.9,0.9
0.658,0.887,0.753,0.15,0.0,0.101,0.9,0.894,0.899,0.9
0.805,0.786,0.649,0.0,0.247,0.0,0.896,0.888,0.9,0.899
0.557,0.648,0.979,0.12,0.157,0.247,0.893,0.899,0.899,0.899
0.757,0.619,0.709,0.001,0.067,0.149,0.866,0.895,0.9,0.891
0.766,0.6,0.38,0.128,0.066,0.117,0.888,0.899,0.9,0.899
